"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"E a mídia nem fala nada... @costa_rui @BlogdoNoblat @jaqueswagner @STF_oficial @folha_poder @MPF_PGR @VemPraRua_br… https://t.co/QXAvbfENMk",FALSE,0,NA,2017-02-08 23:02:07,TRUE,NA,"829465363339419648",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","alex_kaf1",0,FALSE,FALSE,NA,NA
"Que cada um responda dentro da lei do Marco constitucional , não se pode expor a vida íntima das pessoas @costa_rui https://t.co/JMnTzQCD7B",FALSE,0,NA,2017-02-08 22:36:46,FALSE,NA,"829458983446528000",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","sofiasigajesus",0,FALSE,FALSE,NA,NA
"RT @costa_rui: Nivea emocionou a todos hoje pela manhã na #aulainaugural. ������������������ https://t.co/DknZMKTyhU",FALSE,0,NA,2017-02-08 22:35:59,FALSE,NA,"829458783520825344",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","PatrciaLozanoS1",14,TRUE,FALSE,NA,NA
"RT @costa_rui: Educação não se faz por imposição e sim por motivação!
#AulaInaugural @educacaobahia @governodabahia",FALSE,0,NA,2017-02-08 22:27:58,FALSE,NA,"829456767868362768",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","edenvaladares",4,TRUE,FALSE,NA,NA
"RT @costa_rui: A escola é do nosso povo, da nossa sociedade. Precisamos contagiar corações e mentes para apoiar a escola! #AbraceUmaEscola",FALSE,0,NA,2017-02-08 22:27:53,FALSE,NA,"829456744111824910",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","edenvaladares",5,TRUE,FALSE,NA,NA
"RT @costa_rui: Assino agora o termo de colaboração com a Google, que dará fruto a uma rede social que integra estudantes e professores. @ed…",FALSE,0,NA,2017-02-08 22:27:49,FALSE,NA,"829456730069331970",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","edenvaladares",10,TRUE,FALSE,NA,NA
"RT @costa_rui: Todas as escolas da rede estadual terão coordenação pedagógica! Este é o nosso compromisso",FALSE,0,NA,2017-02-08 22:27:44,FALSE,NA,"829456707654934534",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","edenvaladares",12,TRUE,FALSE,NA,NA
"RT @costa_rui: Desejo aos estudantes um ano de muita determinação! 
@educacaobahia #EducarParaTransformar https://t.co/vq2x2422V8",FALSE,0,NA,2017-02-08 22:27:32,FALSE,NA,"829456660146053130",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","edenvaladares",3,TRUE,FALSE,NA,NA
"RT @costa_rui: Nivea emocionou a todos hoje pela manhã na #aulainaugural. ������������������ https://t.co/DknZMKTyhU",FALSE,0,NA,2017-02-08 22:27:18,FALSE,NA,"829456598280130560",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","edenvaladares",14,TRUE,FALSE,NA,NA
"@costa_rui Os 20 delegados querem ajudar seu governo a diminuir os índices de violência e ajudar o povo! Tenho fé q o ar nos chamará.",FALSE,0,"costa_rui",2017-02-08 22:27:04,FALSE,NA,"829456540021190656","68466700","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M5)</a>","Camilabasouza",1,FALSE,FALSE,NA,NA
"@costa_rui Fiz o que pude,meu filho foi pra escola de bicicleta,como posso ficar tranquila?!",FALSE,0,"costa_rui",2017-02-08 22:15:46,FALSE,"829346240202686464","829453698170548224","68466700","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","lucineidedelim2",0,FALSE,FALSE,NA,NA
"RT @costa_rui: Ao longo desses 2 anos, visitei + de 240 escolas e vi muitas iniciativas culturais e artísticas. Vamos ampliar isso com as #…",FALSE,0,NA,2017-02-08 22:09:27,FALSE,NA,"829452106981588993",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ElisMarina8",9,TRUE,FALSE,NA,NA
